cluster,mean,std
0,2.26519848037 -0.301264058475 36.6100396111 4.09264781717,5.55776835885 5.65153761124 56.428475707 1.60330926261
1,11.8680083259 7.72813692291 25.6181790797 4.15000020341,7.73275137629 9.06382854682 31.2262127111 1.68498372697
2,-3.34812175445 -6.88233665514 13.4422588514 3.64214247141,8.12534137653 9.32352989119 21.5953043831 1.3496351966
3,2.27462111436 -2.59950412617 13.6824158568 5.2276139615,10.7818245006 11.5941974029 19.2479769111 1.64028999589
4,0.200921040632 -3.87624583867 6.38774227789 4.42194333488,8.84593991483 9.82484527923 11.525064011 1.75565896981
5,6.91975687868 2.41262474118 23.1726107147 4.60646162447,8.91586606868 9.60662642382 25.9846490462 1.7820428125
6,8.83971543188 5.31094066849 8.09449121445 4.27522835444,8.32764831903 8.92325304112 17.2387856287 1.48963495152
7,0.195444803274 -4.61376363428 19.9822820973 5.12581259814,10.6406083798 11.526321883 22.7615897604 1.80749081865
